"LNR";"Family";"Genus";"Species";"AuthorYear";"Collection";"KatalogNrPers";"Specimens";"Specimenbased";"MaleCount";"FemaleCount";"JuvenileCount";"Leg";"Det";"Date";"Month";"Year";"Region";"Locality";"LatPrec";"LongPrec";"RadiusNew";"NotesF";"NotesonLoc";"NotesonSpecimen";"NotesonTube";"UTM10"
;"Araneidae";"Mangora";"acalypha";"(Walckenaer, 1802)";"ZMUC";"JL06001";2;0;0;2;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Theridiidae";"Crustulina";"sticta";"(O. P.-Cambridge, 1861)";"ZMUC";"JL06002";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Araneidae";"Hypsosinga";"albovittata";"(Westring, 1851)";"ZMUC";"JL06003";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Theridiidae";"Neottiura";"bimaculata";"(Linnaeus, 1767) ";"ZMUC";"JL06004";2;0;1;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Theridiidae";"Theridion";"varians";"Hahn, 1833";"ZMUC";"JL06005";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Theridiidae";"Theridion";"mystaceum";"L. Koch, 1870";"ZMUC";"JL06006";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Theridiidae";"Phylloneta";"sisyphia";"(Clerck, 1757)";"ZMUC";"JL06007";2;0;1;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Lycosidae";"Pardosa";"agrestis";"(Westring, 1861)";"ZMUC";"JL06008";6;0;4;2;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Lycosidae";"Pirata";"piscatorius";"(Clerck, 1757)";"ZMUC";"JL06009";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Lycosidae";"Trochosa";"terricola";"Thorell, 1856";"ZMUC";"JL06010";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
